ID,Min speed limit [km/h],Max speed limit [km/h],Min gradient [permil],Max gradient [permil],Min (abs) radius [m],Max (abs) radius [m],Length [m],Min interval [m],Max interval [m],Num intervals [-],Num stops [-]
00_reference,140,140,0.0,0.0,inf,inf,48531.0,48531.0,48531.0,1,4
00_stationX_stationY,80,125,0.0,0.0,340.1,inf,29556.1,15.9,1739.9,244,2
00_var_gradient_minusplus_6,140,140,0.0,0.0,inf,inf,48531.0,48531.0,48531.0,1,2
00_var_gradient_minus_10,140,140,0.0,0.0,inf,inf,48531.0,48531.0,48531.0,1,2
00_var_gradient_minus_5,140,140,0.0,0.0,inf,inf,48531.0,48531.0,48531.0,1,2
00_var_gradient_plus_10,140,140,0.0,0.0,inf,inf,48531.0,48531.0,48531.0,1,2
00_var_gradient_plus_5,140,140,0.0,0.0,inf,inf,48531.0,48531.0,48531.0,1,2
00_var_speed_limit_100,100,140,0.0,0.0,inf,inf,48531.0,10000.0,25000.0,3,2
00_var_speed_limit_110,110,140,0.0,0.0,inf,inf,48531.0,10000.0,25000.0,3,2
00_var_speed_limit_120,120,140,0.0,0.0,inf,inf,48531.0,10000.0,25000.0,3,2
00_var_speed_limit_wind,50,120,0.0,0.0,inf,inf,20000.0,1000.0,7000.0,6,2
CH_Fribourg_Bern,40,140,0.0,0.0,inf,inf,31240.7,286.3,6871.7,17,2
CH_Stadelhofen_Altstetten,80,125,0.0,0.0,inf,inf,5790.0,50.0,2850.0,4,4
CN_Songjiazhuang_Yizhuang,50,84,0.0,0.0,inf,inf,22728.0,132.0,2123.0,34,14
SE_Vasteras_Kolback,110,200,0.0,0.0,inf,inf,19305.4,363.1,13985.8,6,2
